Marque,Année,Boite_Vitesse,Adresse,Prix,Venant_Occasion
Mitsubishi,2017,Automatique,"Liberte 6,Dakar",9750000,Venant
Ford,2009,Manuelle,"Yoff,Dakar",2500000,D'occasion
BMW,2015,Automatique,"Cité Damel,Dakar",15500000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
GMC,2014,Automatique,"Hlm,Dakar",7500000,Venant
Mitsubishi,2014,Manuelle,"VDN,Dakar",13500000,Venant
Peugeot,2015,Automatique,"Yoff,Dakar",6000000,Venant
Porsche,2018,Automatique,"Plateau,Dakar",25000000,Venant
Kia,2012,Automatique,"Parcelles Assainies,Dakar",5700000,D'occasion
Ford,2013,Automatique,"Liberte 6 extension,Dakar",5800000,D'occasion
Peugeot,2019,Automatique,"Almadies,Dakar",16500000,Venant
Hyundai,2012,Automatique,"Colobane,Dakar",4650000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Mitsubishi,2019,Manuelle,"VDN,Dakar",11000000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Hyundai,2017,Automatique,"Sicap foire,Dakar",8500000,Venant
Hyundai,2013,Automatique,"Fenêtre mermoz,Dakar",4500000,D'occasion
Hyundai,2014,Automatique,"Cité Damel,Dakar",9500000,Venant
Ford,2013,Automatique,"Hlm,Dakar",4700000,D'occasion
Ford,2013,Manuelle,"Golf,Dakar",3600000,D'occasion
Chevrolet,2013,Automatique,"Liberte 6 extension,Dakar",3000000,D'occasion
Ford,2015,Automatique,"Rufisque,Dakar",7000000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2015,Automatique,"Nord foire,Dakar",8800000,D'occasion
Ford,2014,Automatique,"Ouest foire,Dakar",4900000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Toyota,2011,Manuelle,"Cité Damel,Dakar",3800000,D'occasion
Hyundai,2011,Manuelle,"Parcelles Assainies,Dakar",3400000,D'occasion
BMW,2020,Automatique,"Sacré-cœur,Dakar",50100000,Venant
Mitsubishi,2014,Automatique,"Sicap Liberté,Dakar",7300000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Toyota,2010,Manuelle,"VDN,Dakar",3800000,D'occasion
BMW,2007,Automatique,"Hann maristes,Dakar",1500000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2013,Automatique,"Liberte 6,Dakar",5800000,D'occasion
Mitsubishi,2016,Automatique,"Plateau,Dakar",18500000,D'occasion
Suzuki,2021,Automatique,"Almadies,Dakar",9200000,D'occasion
Daihatsu,2007,Manuelle,"Mbao,Dakar",1350000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mazda,2017,Automatique,"Almadies,Dakar",14500000,Venant
BMW,2019,Automatique,"Sicap foire,Dakar",47000000,D'occasion
Renault,2006,Manuelle,"Colobane,Dakar",2950000,D'occasion
Volkswagen,2015,Automatique,"Gueule-Tapée,Dakar",4000000,D'occasion
Hyundai,2015,Automatique,"Amitié,Dakar",12500000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mercedes-Benz,2020,Automatique,"Hlm,Dakar",32500000,Venant
Mazda,2015,Automatique,"Guediawaye,Dakar",8400000,Venant
BMW,2016,Automatique,"Liberte 6,Dakar",18500000,Venant
Jeep,2014,Automatique,"Fenêtre mermoz,Dakar",10000000,D'occasion
Hyundai,2011,Automatique,"Mermoz,Dakar",5600000,D'occasion
Chevrolet,2015,Automatique,"Cité Damel,Dakar",5300000,Venant
Toyota,2004,Automatique,"Fenêtre mermoz,Dakar",3800000,D'occasion
BMW,2010,Automatique," Cité Damel,Dakar",7000000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Hyundai,2015,Automatique,"Guediawaye,Dakar",6800000,Venant
Toyota,2015,Automatique,"Mamelles,Dakar",25000000,D'occasion
Nissan,2014,Automatique,"Sacré-cœur,Dakar",7300000,Venant
Peugeot,2014,Manuelle,"Hann maristes,Dakar",5000000,Venant
Audi,2015,Automatique,"Mermoz,Dakar",12000000,Venant
Renault,2015,Automatique,"Liberte 6,Dakar",5800000,Venant
Nissan,2014,Automatique,"Pikine,Dakar",7000000,D'occasion
Ford,2016,Automatique,"Sicap foire,Dakar",7000000,Venant
Peugeot,2015,Manuelle,"Ouest foire,Dakar",9500000,D'occasion
BMW,2016,Automatique,"Sacré-cœur,Dakar",15500000,Venant
Hyundai,2015,Automatique,"Parcelles Assainies,Dakar",6000000,Venant
Ford,2014,Automatique,"Cité Damel,Dakar",5800000,D'occasion
Ford,2012,Automatique,"Guediawaye,Dakar",3600000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2013,Automatique,"Pikine,Dakar ",4300000,D'occasion
Toyota,2014,Automatique,"Parcelles Assainies,Dakar",13800000,D'occasion
Ford,2015,Automatique,"Cité keur gorgui,Dakar",10500000,D'occasion
Mazda,2021,Automatique,"Liberte 6,Dakar",19700000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2005,Automatique," Liberte 6,Dakar",3000000,D'occasion
Toyota,2009,Manuelle,"Grand-Yoff,Dakar",2700000,D'occasion
Lexus,2018,Automatique," Almadies,Dakar",22000000,D'occasion
Mazda,2013,Automatique,"Grand-Dakar,Dakar",77000000,D'occasion
Jeep,2014,Automatique,"Cité Damel,Dakar",14000000,Venant
Jeep,2016,Automatique,"Mbao,Dakar",6500000,Venant
Hyundai,2016,Automatique,"Parcelles Assainies,Dakar",11000000,Venant
Citroen,2016,Automatique,"Liberte 6,Dakar",7800000,Venant
Jeep,2016,Automatique,"Sacré-cœur,Dakar",15200000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Hyundai,2015,Automatique,"Sacré-cœur,Dakar",6800000,Venant
Nissan,2015,Automatique,"Fann,Dakar",5000000,D'occasion
Ford,2014,Automatique,"Parcelles Assainies,Dakar",7300000,D'occasion
BMW,2019,Automatique,"Mermoz,Dakar",39500000,D'occasion
Hyundai,2015,Automatique,"Liberte 6,Dakar",9500000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
BMW,2010,Manuelle," Parcelles Assainies,Dakar",1200000,D'occasion
Mitsubishi,2015,Automatique,"Guediawaye,Dakar",15500000,Venant
Hyundai,2013,Automatique,"Cité Damel,Dakar",5500000,Venant
Hyundai,2017,Automatique,"Liberte 6,Dakar",14500000,Venant
Ford,2010,Automatique,"Mermoz, Dakar",4300000,D'occasion
Ford,2014,Automatique,"Parcelles Assainies,Dakar",5000000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Chevrolet,2014,Automatique,"VDN,Dakar",6750000,Venant
GMC,2013,Automatique,"Sicap foire,Dakar",15000000,Venant
Nissan,2009,Automatique,"VDN,Dakar",3999999,D'occasion
Toyota,2009,Automatique,"Hann maristes,Dakar",4400000,D'occasion
Hyundai,2022,Automatique,"Mermoz,Dakar",36000000,D'occasion
Ford,2017,Automatique," Ouest foire,Dakar",14500000,Venant
Peugeot,2014,Manuelle,"Sacré-cœur,Dakar",3900000,D'occasion
Ford,2007,Automatique,"VDN,Dakar",3500000,D'occasion
Ford,2014,Automatique,"Ouest foire,Dakar",4900000,D'occasion
Peugeot,2015,Manuelle,"Keur Massar,Dakar",5800000,Venant
Peugeot,2018,Automatique,"Almadies,Dakar",14500000,Venant
Ford,2014,Automatique,"Liberte 6,Dakar",5500000,Venant
Hyundai,2015,Automatique,"Cité Damel,Dakar",12000000,Venant
Volkswagen,2014,Automatique,"Hann maristes,Dakar",3500000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Nissan,2018,Automatique,"Liberte 6,Dakar",14700000,Venant
BMW,2015,Automatique,"Sacré-cœur,Dakar",12500000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
BMW,2015,Automatique,"VDN,Dakar",13500000,Venant
Hyundai,2015,Automatique,"Cité Damel,Dakar",7500000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2011,Automatique,"VDN,Dakar",37000000,D'occasion
Chevrolet,2014,Automatique,"Hann maristes,Dakar",5000000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Nissan,2015,Automatique,"Almadies,Dakar",8500000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Peugeot,2021,Manuelle,"Hlm grand-yoff,Dakar",12000000,Venant
Jeep,2014,Automatique,"Liberte 6,Dakar",13000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2014,Automatique,"Mermoz,Dakar",8800000,Venant
Hyundai,2014,Automatique,"Cité Damel,Dakar",6500000,Venant
Ford,2016,Automatique,"Parcelles Assainies,Dakar",13000000,Venant
Peugeot,2013,Automatique,"Sicap foire,Dakar",3500000,D'occasion
Ford,2013,Automatique,"Cité keur gorgui,Dakar",8500000,D'occasion
BMW,2014,Automatique,"Mermoz,Dakar",17000000,Venant
Mercedes-Benz,2020,Automatique,"Plateau,Dakar",33000000,D'occasion
Hyundai,2015,Automatique,"Avenue Bourguiba,Dakar",8300000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Ford,2013,Automatique,"Hlm,Dakar",4500000,Venant
Toyota,2018,Automatique,"Hlm,Dakar",17700000,Venant
Renault,2010,Manuelle,"Castor,Dakar",6000000,D'occasion
Chevrolet,2013,Automatique,"Sacré-cœur,Dakar",4300000,D'occasion
Ford,2011,Automatique,"Fenêtre mermoz,Dakar",2500000,D'occasion
Nissan,2011,Manuelle,"Sacré-cœur,Dakar",2000000,D'occasion
Ford,2014,Automatique,"Médina,Dakar",5800000,Venant
Ford,2019,Automatique,"Patte d‘oie,Dakar",23500000,D'occasion
Mitsubishi,2016,Automatique,"Liberte 6,Dakar",11000000,Venant
Hyundai,2016,Automatique,"VDN,Dakar",6000000,Venant
Ford,2018,Automatique,"Sacré-cœur,Dakar",13800000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Toyota,2019,Manuelle,"Keur Massar,Dakar",16500000,Venant
Hyundai,2013,Automatique,"Sicap foire,Dakar",5000000,D'occasion
Toyota,2008,Manuelle,"Rufisque,Dakar",3500000,D'occasion
Ford,2015,Automatique,"Patte d‘oie,Dakar",5300000,D'occasion
Peugeot,2015,Manuelle,"Mermoz,Dakar",5250000,D'occasion
Hyundai,2013,Automatique,"Ouest foire,Dakar",7500000,D'occasion
Renault,2015,Manuelle,"Keur Massar,Dakar",4650000,D'occasion
Range Rover,2015,Automatique,"Sicap foire,Dakar",17000000,Venant
Volkswagen,2008,Automatique,"Dieuppeul,Dakar",3000000,D'occasion
Ford,2014,Automatique,"VDN,Dakar",5800000,D'occasion
Honda,2014,Automatique,"Sicap Liberté,Dakar",5800000,D'occasion
Hyundai,2013,Automatique,"Parcelles Assainies,Dakar",4600000,D'occasion
Porsche,2013,Automatique,"Mamelles,Dakar",8000000,D'occasion
Ford,2016,Manuelle,"Castor,Dakar",7750000,D'occasion
Ford,2014,Automatique,"Sacré-cœur,Dakar",5300000,D'occasion
Hyundai,2016,Automatique,"Sicap foire,Dakar",12500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Hyundai,2014,Automatique,"Sacré-cœur,Dakar",10800000,Venant
Chevrolet,2012,Automatique,"Sacré-cœur,Dakar",4700000,D'occasion
Peugeot,2014,Automatique,"Zac Mbao,Dakar",3900000,Venant
Toyota,2012,Manuelle,"Pikine,Dakar",3500000,D'occasion
Land Rover,2014,Automatique,"Liberte 6 extension,Dakar",26000000,Venant
Ford,2013,Automatique,"Liberte 6,Dakar",4300000,Venant
Mitsubishi,2016,Automatique,"Sicap Liberté,Dakar",9900000,Venant
Peugeot,2009,Manuelle,"Mamelles,Dakar",3400000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2015,Automatique,"Liberte 6,Dakar",9500000,D'occasion
Jeep,2016,Automatique,"Plateau,Dakar",8500000,Venant
Renault,2015,Automatique,"Liberte 6,Dakar",5600000,D'occasion
Kia,2014,Automatique,"Mermoz,Dakar",9500000,Venant
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Jeep,2020,Automatique,"Almadies,Dakar",20000000,D'occasion
Kia,2015,Automatique,"Ouest foire,Dakar",14000000,Venant
Jeep,2014,Automatique,"Almadies,Dakar",10500000,D'occasion
Ford,2015,Automatique,"Sacré-cœur,Dakar",10500000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Hyundai,2014,Automatique,"Castor,Dakar",14500000,Venant
Mitsubishi,2015,Automatique,"Sacré-cœur,Dakar",10500000,Venant
Ford,2014,Automatique,"VDN,Dakar",5300000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2013,Automatique,"Liberte 6,Dakar",4500000,D'occasion
Ford,2005,Manuelle,"Plateau,Dakar",1300000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Mitsubishi,2017,Manuelle,"Plateau,Dakar",13000000,D'occasion
Ford,2016,Automatique,"Sacré-cœur,Dakar",13900000,Venant
Kia,2014,Automatique,"Mermoz,Dakar",8300000,Venant
Renault,2009,Manuelle,"Cambérène,Dakar",2300000,D'occasion
Kia,2016,Automatique,"Cité Damel,Dakar",12000000,Venant
Kia,2012,Manuelle,"Sicap Liberté,Dakar",4200000,D'occasion
BMW,2015,Automatique,"Liberte 6 extension,Dakar",13500000,Venant
Hyundai,2014,Automatique,"Sacré-cœur,Dakar",13000000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2013,Automatique,"Patte d‘oie, Dakar",5000000,D'occasion
Kia,2015,Automatique,"Cité Damel,Dakar",7600000,D'occasion
Ford,2014,Manuelle,"Hann maristes,Dakar",5000000,D'occasion
Ford,2013,Automatique,"Guediawaye,Dakar",3500000,D'occasion
Citroen,2015,Manuelle,"Hann Bel-Air,Dakar",5,Venant
Opel,2006,Manuelle,"Sacré-cœur,Dakar",2350000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Hyundai,2015,Automatique,"Sacré-cœur,Dakar",9500000,Venant
Hyundai,2014,Automatique,"Mermoz,Dakar",9800000,Venant
Citroen,2013,Manuelle,"Hlm,Dakar ",4700000,Venant
Dodge,2015,Automatique,"Cambérène,Dakar",5000000,Venant
Hyundai,2015,Automatique,"Sacré-cœur,Dakar",9500000,Venant
Hyundai,2015,Automatique,"Sicap foire,Dakar",9000000,Venant
Toyota,2018,Automatique,"Sicap foire,Dakar",5500000,D'occasion
Ford,2017,Automatique,"Colobane,Dakar",15900000,D'occasion
Ford,2013,Automatique,"Sacré-cœur,Dakar",3400000,D'occasion
Ford,2013,Automatique,"Keur Massar,Dakar",4800000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Kia,2015,Automatique,"Parcelles Assainies,Dakar",9500000,Venant
Hyundai,2008,Manuelle,"Cité biagui,Dakar",3500000,D'occasion
Chevrolet,2011,Automatique,"Cité keur gorgui,Dakar",3300000,D'occasion
Nissan,2015,Automatique,"Dalifort,Dakar",6500000,Venant
Toyota,2015,Manuelle,"Sacré-cœur,Dakar",17000000,D'occasion
Nissan,2013,Automatique,"Parcelles Assainies,Dakar",3700000,D'occasion
Mitsubishi,2015,Automatique,"Sacré-cœur,Dakar",9000000,D'occasion
Mitsubishi,2015,Automatique,"VDN,Dakar",7600000,Venant
Peugeot,2014,Automatique," Keur Massar,Dakar",6000000,Venant
Ford,2016,Automatique,"Mermoz,Dakar",5000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2014,Automatique,"VDN,Dakar",7500000,Venant
Hyundai,2012,Automatique,"Keur Massar,Dakar",5000000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Hyundai,2015,Automatique,"Parcelles Assainies,Dakar",10500000,Venant
Hyundai,2012,Manuelle,"Liberte 6,Dakar",3300000,D'occasion
Ford,2013,Automatique,"Ouest foire,Dakar",4800000,D'occasion
Hyundai,2016,Automatique,"Parcelles Assainies,Dakar",12500000,Venant
Mitsubishi,2015,Automatique,"Nord foire,Dakar",8000000,Venant
