prix,adresse,marque,dim_ecr,ram,stockage,etat
580000,Guediawaye,iPhone,6.0,8,128,D'occasion
250000,Mermoz,iPhone,6.0,4,128,D'occasion
80000,Médina,iPhone,5.0,5,128,D'occasion
290000,Plateau,Samsung,6.0,8,256,D'occasion
250000,Mermoz,Samsung,6.0,8,256,D'occasion
375000,Plateau,Google,6.0,128,128,D'occasion
290000,Médina,iPhone,7.0,7,128,D'occasion
350000,Fenêtre mermoz,iPhone,6.0,12,128,D'occasion
650000,Ngor,iPhone,6.0,12,128,D'occasion
100000,Médina,iPhone,6.0,6,64,D'occasion
95000,Mermoz,Samsung,0.0,12,128,D'occasion
45000,Hann maristes,iPhone,6.0,12,32,D'occasion
100000,Yoff,Samsung,6.0,12,128,D'occasion
50000,Ouakam,Samsung,6.0,4,64,D'occasion
69900,Fass,Huawei,6.0,6,128,D'occasion
425000,Plateau,iPhone,6.0,12,128,D'occasion
180000,Médina,iPhone,6.0,6,64,D'occasion
500,Almadies,iPhone,6.0,12,128,D'occasion
140000,Castor,iPhone,6.0,12,128,D'occasion
34999,Ouest foire,iPhone,5.0,2,16,D'occasion
185000,Plateau,Oppo,6.0,8,256,D'occasion
309000,Médina,iPhone,6.0,12,128,D'occasion
219000,Médina,iPhone,6.0,12,256,D'occasion
165000,Plateau,Asus,5.0,8,128,D'occasion
395000,Médina,iPhone,6.0,12,128,D'occasion
270000,Médina,iPhone,7.0,7,128,D'occasion
255000,Plateau,iPhone,6.0,6,128,D'occasion
250000,Parcelles Assainies,iPhone,6.0,4,256,D'occasion
470000,Médina,iPhone,6.0,12,128,D'occasion
890000,Médina,iPhone,9.0,12,512,D'occasion
310000,Ouest foire,iPhone,6.0,4,128,D'occasion
450000,Cité Damel,Samsung,3.0,8,256,D'occasion
140000,Parcelles Assainies,Xiaomi,6.0,6,128,D'occasion
380000,Ngaparou,Samsung,6.0,12,256,D'occasion
355000,Almadies,iPhone,6.0,12,256,D'occasion
550,Almadies,iPhone,6.0,16,256,D'occasion
770245,Médina,iPhone,6.0,26,217,D'occasion
440246,Plateau,iPhone,7.0,22,218,D'occasion
270247,Point-e,iPhone,5.0,25,218,D'occasion
480247,Zone industrielle,ZTE,7.0,25,346,D'occasion
440247,Point-e,iPad,6.0,28,346,D'occasion
565247,Yoff,LG,7.0,147,217,D'occasion
480246,Pikine,iPhone,9.0,27,216,D'occasion
540248,Liberte 6 extension,iPhone,6.0,30,218,D'occasion
840246,Saly,iPhone,7.0,31,218,D'occasion
290247,Point-e,iPhone,6.0,25,152,D'occasion
285247,Pikine,Xiaomi,0.0,31,216,D'occasion
235245,Nord foire,iPhone,8.0,31,120,D'occasion
290246,Plateau,ZTE,7.0,32,220,D'occasion
240246,Sicap Sacré-cœur,ZTE,9.0,22,154,D'occasion
260146,Liberte 6 extension,Motorola,7.0,26,217,D'occasion
615245,Yoff,iPhone,7.0,31,218,D'occasion
370247,Point-e,iPhone,9.0,26,154,D'occasion
190746,Fenêtre mermoz,iPhone,7.0,31,218,D'occasion
330248,Guediawaye,iPhone,6.0,33,218,D'occasion
225246,VDN,iPhone,5.0,22,107,D'occasion
375245,Zone industrielle,Viwa,7.0,27,346,D'occasion
499248,Plateau,iPhone,6.0,32,216,D'occasion
409247,Sacré-cœur,iPhone,8.0,31,346,D'occasion
355247,Zone industrielle,Honor,6.0,28,215,D'occasion
585246,Plateau,iPhone,8.0,31,219,D'occasion
460246,Plateau,iPhone,7.0,27,217,D'occasion
445247,Zone industrielle,iPhone,7.0,27,218,D'occasion
440246,Sicap foire,iPhone,8.0,23,346,D'occasion
660246,Point-e,iPhone,9.0,31,219,D'occasion
1080246,Sacré-cœur,iPhone,11.0,30,603,D'occasion
500246,VDN,iPhone,8.0,21,217,D'occasion
640246,Grand-Yoff,Xiaomi,5.0,27,345,D'occasion
330248,Sicap foire,iPhone,8.0,27,217,D'occasion
570244,Point-e,ZTE,7.0,30,347,D'occasion
545245,Fass,iPhone,8.0,32,347,D'occasion
190795,Fann,iPhone,6.0,37,345,D'occasion
770248,Liberte 6 extension,iPhone,7.0,28,218,D'occasion
440248,Pikine,iPhone,5.0,23,219,D'occasion
270247,Plateau,iPhone,6.0,24,218,D'occasion
480245,Yoff,iPhone,8.0,25,345,D'occasion
440247,Parcelles Assainies,iPad,8.0,26,346,D'occasion
565247,Zone industrielle,Itel,9.0,147,216,D'occasion
480246,Plateau,iPhone,8.0,26,218,D'occasion
540246,Liberte 6,iPhone,7.0,31,218,D'occasion
840247,Sacré-cœur,iPhone,8.0,32,219,D'occasion
290247,Sacré-cœur,iPhone,6.0,26,153,D'occasion
285247,Pikine,iPad,0.0,32,216,D'occasion
235245,Ngor,iPhone,8.0,31,122,D'occasion
290246,Plateau,ZTE,9.0,31,219,D'occasion
240247,VDN,ZTE,9.0,21,153,D'occasion
260147,Liberte 6 extension,LG,9.0,24,217,D'occasion
615248,Yoff,iPhone,8.0,32,219,D'occasion
370246,Point-e,iPhone,6.0,24,152,D'occasion
190746,Fann,iPhone,8.0,31,216,D'occasion
330247,Gueule-Tapée,iPhone,8.0,31,217,D'occasion
225246,Sicap Liberté,iPhone,6.0,21,107,D'occasion
375248,Plateau,Xiaomi,7.0,28,344,D'occasion
499247,Pikine,iPhone,8.0,31,219,D'occasion
409247,Plateau,iPhone,7.0,32,345,D'occasion
355247,Zone industrielle,Huawei,7.0,27,219,D'occasion
585246,Plateau,iPhone,8.0,31,217,D'occasion
460245,Plateau,iPhone,8.0,25,217,D'occasion
445246,Plateau,iPhone,7.0,25,218,D'occasion
440246,VDN,iPhone,7.0,24,345,D'occasion
660248,Point-e,iPhone,6.0,31,217,D'occasion
1080246,Sacré-cœur,iPhone,10.0,31,601,D'occasion
500246,Sicap Sacré-cœur,iPhone,8.0,24,218,D'occasion
640245,Grand-Yoff,iPad,4.0,29,344,D'occasion
330248,VDN,iPhone,6.0,25,220,D'occasion
570248,Sacré-cœur,ZTE,8.0,30,346,D'occasion
545247,Fann,iPhone,7.0,32,346,D'occasion
190797,Fann,iPhone,5.0,35,347,D'occasion
770245,Médina,iPhone,6.0,28,219,D'occasion
440246,Pikine,iPhone,6.0,25,217,D'occasion
270246,Saly,iPhone,8.0,25,217,D'occasion
480245,Yoff,iPhone,8.0,28,345,D'occasion
440248,Plateau,Xiaomi,6.0,28,345,D'occasion
565246,Zone industrielle,LG,7.0,148,217,D'occasion
480248,Plateau,iPhone,7.0,26,218,D'occasion
540247,Liberte 6 extension,iPhone,8.0,30,219,D'occasion
840248,Saly,iPhone,7.0,33,220,D'occasion
290247,Plateau,iPhone,5.0,25,154,D'occasion
285248,Pikine,iPad,0.0,32,219,D'occasion
235247,Ngor,iPhone,6.0,33,122,D'occasion
290247,Plateau,Xiaomi,7.0,31,218,D'occasion
